citation,Confidence Value,evidence: CCMI,evidence: Co-dependence,evidence: mRNA co-expression,evidence: Physical,evidence: Protein co-expression,evidence: Sequence similarity,Experimental System,Experimental System Type,FBS_max,Integrated score,interaction,Interaction Detection Methods,LLS,Modification,name,PFC,Phenotypes,Presence In Other Species,Publication 1st Author,Qualifications,Score,selected,shared interaction,shared name,Source Databases,Throughput
,,,,,,,,,,,,has functional association with,,1.57926731068593,,U2AF2 (has functional association with) AHNAK,,,,,,,false,has functional association with,U2AF2 (has functional association with) AHNAK,,
,,,,,,,,,,,,has functional association with,,1.54381747146151,,U2AF2 (has functional association with) RAB7A,,,,,,,false,has functional association with,U2AF2 (has functional association with) RAB7A,,
,,,,,,,,,,,,has functional association with,,1.57089735613577,,U2AF2 (has functional association with) BCLAF1,,,,,,,false,has functional association with,U2AF2 (has functional association with) BCLAF1,,
,,,,,,,,,,,,has functional association with,,2.189441899603,,U2AF2 (has functional association with) FUBP1,,,,,,,false,has functional association with,U2AF2 (has functional association with) FUBP1,,
,,,,,,,,,,,,has functional association with,,1.54784690164865,,U2AF2 (has functional association with) NUP153,,,,,,,false,has functional association with,U2AF2 (has functional association with) NUP153,,
,,,,,,,,,,,,has functional association with,,1.76076075023592,,H1-7 (has functional association with) ZFP62,,,,,,,false,has functional association with,H1-7 (has functional association with) ZFP62,,
,,,,,,,,,,,,has functional association with,,1.7203785460023,,H1-7 (has functional association with) RBM23,,,,,,,false,has functional association with,H1-7 (has functional association with) RBM23,,
,,,,,,,,,,,,has functional association with,,1.69408306060345,,H1-7 (has functional association with) BMS1,,,,,,,false,has functional association with,H1-7 (has functional association with) BMS1,,
,,,,,,,,,,,,has functional association with,,1.68389482006762,,H1-7 (has functional association with) MRPS18C,,,,,,,false,has functional association with,H1-7 (has functional association with) MRPS18C,,
,,,,,,,,,,,,has functional association with,,1.91191511796533,,H1-7 (has functional association with) ZNF646,,,,,,,false,has functional association with,H1-7 (has functional association with) ZNF646,,
,,,,,,,,,,,,has functional association with,,1.68479088509328,,FRY (has functional association with) UBC,,,,,,,false,has functional association with,FRY (has functional association with) UBC,,
,,,,,,,,,,,,has functional association with,,1.73501850545091,,ZNF721 (has functional association with) DNAH3,,,,,,,false,has functional association with,ZNF721 (has functional association with) DNAH3,,
,,,,,,,,,,,,has functional association with,,1.89509869163639,,ZNF721 (has functional association with) PRAMEF11,,,,,,,false,has functional association with,ZNF721 (has functional association with) PRAMEF11,,
,,,,,,,,,,,,has functional association with,,1.5914361442036,,ZNF721 (has functional association with) KRTAP4-5,,,,,,,false,has functional association with,ZNF721 (has functional association with) KRTAP4-5,,
,,,,,,,,,,,,has functional association with,,1.63235295013729,,ZNF721 (has functional association with) NOTCH2NLA,,,,,,,false,has functional association with,ZNF721 (has functional association with) NOTCH2NLA,,
,,,,,,,,,,,,has functional association with,,2.27478962386388,,ZNF721 (has functional association with) PLEC,,,,,,,false,has functional association with,ZNF721 (has functional association with) PLEC,,
,,,,,,,,,,,,has functional association with,,1.60902640963801,,ZNF721 (has functional association with) USP34,,,,,,,false,has functional association with,ZNF721 (has functional association with) USP34,,
,,,,,,,,,,,,has functional association with,,1.67191486827323,,ZNF721 (has functional association with) ZNF845,,,,,,,false,has functional association with,ZNF721 (has functional association with) ZNF845,,
,,,,,,,,,,,,has functional association with,,1.81629741597683,,ZNF721 (has functional association with) PRAMEF4,,,,,,,false,has functional association with,ZNF721 (has functional association with) PRAMEF4,,
,,,,,,,,,,,,has functional association with,,3.95040918233118,,ZNF721 (has functional association with) ZNF592,,,,,,,false,has functional association with,ZNF721 (has functional association with) ZNF592,,
,,,,,,,,,,,,has functional association with,,2.01731350030252,,ZNF721 (has functional association with) NUMBL,,,,,,,false,has functional association with,ZNF721 (has functional association with) NUMBL,,
,,,,,,,,,,,,has functional association with,,3.97218894037443,,ZNF721 (has functional association with) ZNF354A,,,,,,,false,has functional association with,ZNF721 (has functional association with) ZNF354A,,
,,,,,,,,,,,,has functional association with,,1.65936580366075,,ZNF721 (has functional association with) PPIAL4G,,,,,,,false,has functional association with,ZNF721 (has functional association with) PPIAL4G,,
,,,,,,,,,,,,has functional association with,,1.84763404355902,,UHRF2 (has functional association with) FANCD2,,,,,,,false,has functional association with,UHRF2 (has functional association with) FANCD2,,
,,,,,,,,,,,,has functional association with,,1.68636543153482,,UHRF2 (has functional association with) BCLAF1,,,,,,,false,has functional association with,UHRF2 (has functional association with) BCLAF1,,
,,,,,,,,,,,,has functional association with,,1.52822763162596,,UHRF2 (has functional association with) BRD4,,,,,,,false,has functional association with,UHRF2 (has functional association with) BRD4,,
,,,,,,,,,,,,has functional association with,,1.94227225962975,,UHRF2 (has functional association with) RB1,,,,,,,false,has functional association with,UHRF2 (has functional association with) RB1,,
,,,,,,,,,,,,has functional association with,,1.69875744019891,,GSN (has functional association with) BCL7A,,,,,,,false,has functional association with,GSN (has functional association with) BCL7A,,
,,,,,,,,,,,,has functional association with,,1.70450757175802,,GSN (has functional association with) SEMA4G,,,,,,,false,has functional association with,GSN (has functional association with) SEMA4G,,
,,,,,,,,,,,,has functional association with,,1.58605010585663,,GSN (has functional association with) EZR,,,,,,,false,has functional association with,GSN (has functional association with) EZR,,
,,,,,,,,,,,,has functional association with,,1.6214006931537,,GSN (has functional association with) STX17,,,,,,,false,has functional association with,GSN (has functional association with) STX17,,
,,,,,,,,,,,,has functional association with,,2.94108552821431,,GSN (has functional association with) VCL,,,,,,,false,has functional association with,GSN (has functional association with) VCL,,
,,,,,,,,,,,,has functional association with,,1.69154594943077,,GSN (has functional association with) CDS2,,,,,,,false,has functional association with,GSN (has functional association with) CDS2,,
,,,,,,,,,,,,has functional association with,,2.43571639400839,,GSN (has functional association with) PLEC,,,,,,,false,has functional association with,GSN (has functional association with) PLEC,,
,,,,,,,,,,,,has functional association with,,1.64214539020198,,GSN (has functional association with) POTEF,,,,,,,false,has functional association with,GSN (has functional association with) POTEF,,
,,,,,,,,,,,,has functional association with,,4.31383206675075,,SPTBN4 (has functional association with) SPTB,,,,,,,false,has functional association with,SPTBN4 (has functional association with) SPTB,,
,,,,,,,,,,,,has functional association with,,3.25947016995178,,SPTBN4 (has functional association with) SPTA1,,,,,,,false,has functional association with,SPTBN4 (has functional association with) SPTA1,,
,,,,,,,,,,,,has functional association with,,1.50424007111102,,SPTBN4 (has functional association with) BSN,,,,,,,false,has functional association with,SPTBN4 (has functional association with) BSN,,
,,,,,,,,,,,,has functional association with,,2.87383727131973,,SPTBN4 (has functional association with) SPTAN1,,,,,,,false,has functional association with,SPTBN4 (has functional association with) SPTAN1,,
,,,,,,,,,,,,has functional association with,,1.6993818247736,,SPTBN4 (has functional association with) BRAF,,,,,,,false,has functional association with,SPTBN4 (has functional association with) BRAF,,
,,,,,,,,,,,,has functional association with,,1.5091324670321,,SPTBN4 (has functional association with) CACNA1B,,,,,,,false,has functional association with,SPTBN4 (has functional association with) CACNA1B,,
,,,,,,,,,,,,has functional association with,,3.42999421287795,,SPTBN4 (has functional association with) PTPRN2,,,,,,,false,has functional association with,SPTBN4 (has functional association with) PTPRN2,,
,,,,,,,,,,,,has functional association with,,1.58310805274076,,CAD (has functional association with) HERC2,,,,,,,false,has functional association with,CAD (has functional association with) HERC2,,
,,,,,,,,,,,,has functional association with,,1.60191865176019,,LRRC41 (has functional association with) HNRNPL,,,,,,,false,has functional association with,LRRC41 (has functional association with) HNRNPL,,
,,,,,,,,,,,,has functional association with,,1.58284074959162,,TRPM7 (has functional association with) SDHA,,,,,,,false,has functional association with,TRPM7 (has functional association with) SDHA,,
,,,,,,,,,,,,has functional association with,,2.36491287470262,,TRPM7 (has functional association with) CAD,,,,,,,false,has functional association with,TRPM7 (has functional association with) CAD,,
,,,,,,,,,,,,has functional association with,,3.30705806573391,,TRPM7 (has functional association with) TRPM2,,,,,,,false,has functional association with,TRPM7 (has functional association with) TRPM2,,
,,,,,,,,,,,,has functional association with,,1.7266799691942,,TRPM7 (has functional association with) RAB7A,,,,,,,false,has functional association with,TRPM7 (has functional association with) RAB7A,,
,,,,,,,,,,,,has functional association with,,1.9373988567114,,TRPM7 (has functional association with) SLC7A1,,,,,,,false,has functional association with,TRPM7 (has functional association with) SLC7A1,,
,,,,,,,,,,,,has functional association with,,2.00660816713163,,TRPM7 (has functional association with) MYH14,,,,,,,false,has functional association with,TRPM7 (has functional association with) MYH14,,
,,,,,,,,,,,,has functional association with,,2.75580578293946,,DNAH1 (has functional association with) CLIP1,,,,,,,false,has functional association with,DNAH1 (has functional association with) CLIP1,,
,,,,,,,,,,,,has functional association with,,1.7156794656455,,DNAH1 (has functional association with) HNRNPL,,,,,,,false,has functional association with,DNAH1 (has functional association with) HNRNPL,,
,,,,,,,,,,,,has functional association with,,3.53924697962894,,DNAH1 (has functional association with) DNAH3,,,,,,,false,has functional association with,DNAH1 (has functional association with) DNAH3,,
,,,,,,,,,,,,has functional association with,,3.65431549567915,,KCNJ3 (has functional association with) CACNA1A,,,,,,,false,has functional association with,KCNJ3 (has functional association with) CACNA1A,,
,,,,,,,,,,,,has functional association with,,3.98577183399539,,KCNJ3 (has functional association with) KCNJ12,,,,,,,false,has functional association with,KCNJ3 (has functional association with) KCNJ12,,
,,,,,,,,,,,,has functional association with,,3.27250446995346,,KCNJ3 (has functional association with) CACNA1B,,,,,,,false,has functional association with,KCNJ3 (has functional association with) CACNA1B,,
,,,,,,,,,,,,has functional association with,,1.66570348084004,,ATP6V1A (has functional association with) RAB7A,,,,,,,false,has functional association with,ATP6V1A (has functional association with) RAB7A,,
,,,,,,,,,,,,has functional association with,,4.18777294582447,,HSD17B7 (has functional association with) TM7SF2,,,,,,,false,has functional association with,HSD17B7 (has functional association with) TM7SF2,,
,,,,,,,,,,,,has functional association with,,2.64794149610281,,MUC4 (has functional association with) MUC16,,,,,,,false,has functional association with,MUC4 (has functional association with) MUC16,,
,,,,,,,,,,,,has functional association with,,2.64794149610281,,MUC4 (has functional association with) MUC6,,,,,,,false,has functional association with,MUC4 (has functional association with) MUC6,,
,,,,,,,,,,,,has functional association with,,2.79349234442268,,MUC4 (has functional association with) GALNT17,,,,,,,false,has functional association with,MUC4 (has functional association with) GALNT17,,
,,,,,,,,,,,,has functional association with,,1.62339538316193,,ALG13 (has functional association with) NCOR1,,,,,,,false,has functional association with,ALG13 (has functional association with) NCOR1,,
,,,,,,,,,,,,has functional association with,,1.71699002992133,,ALG13 (has functional association with) KMT2D,,,,,,,false,has functional association with,ALG13 (has functional association with) KMT2D,,
,,,,,,,,,,,,has functional association with,,1.97022848193093,,NCR3LG1 (has functional association with) KIR2DL4,,,,,,,false,has functional association with,NCR3LG1 (has functional association with) KIR2DL4,,
,,,,,,,,,,,,has functional association with,,1.7884415054483,,NCR3LG1 (has functional association with) SLC7A1,,,,,,,false,has functional association with,NCR3LG1 (has functional association with) SLC7A1,,
,,,,,,,,,,,,has functional association with,,2.2687010256561,,DENND4A (has functional association with) C1QTNF9,,,,,,,false,has functional association with,DENND4A (has functional association with) C1QTNF9,,
,,,,,,,,,,,,has functional association with,,1.72763824696394,,DENND4A (has functional association with) SRGAP2,,,,,,,false,has functional association with,DENND4A (has functional association with) SRGAP2,,
,,,,,,,,,,,,has functional association with,,4.15393982620185,,DENND4A (has functional association with) DENND2A,,,,,,,false,has functional association with,DENND4A (has functional association with) DENND2A,,
,,,,,,,,,,,,has functional association with,,2.00399343775928,,DENND4A (has functional association with) DENND1A,,,,,,,false,has functional association with,DENND4A (has functional association with) DENND1A,,
,,,,,,,,,,,,has functional association with,,1.8091815855373,,DENND4A (has functional association with) NF1,,,,,,,false,has functional association with,DENND4A (has functional association with) NF1,,
,,,,,,,,,,,,has functional association with,,2.09377815925867,,DENND4A (has functional association with) YWHAZ,,,,,,,false,has functional association with,DENND4A (has functional association with) YWHAZ,,
,,,,,,,,,,,,has functional association with,,1.67590182436097,,KIF26B (has functional association with) TRAF2,,,,,,,false,has functional association with,KIF26B (has functional association with) TRAF2,,
,,,,,,,,,,,,has functional association with,,2.14399171570911,,KIF26B (has functional association with) KIF13A,,,,,,,false,has functional association with,KIF26B (has functional association with) KIF13A,,
,,,,,,,,,,,,has functional association with,,2.20333873606906,,KIF26B (has functional association with) STARD9,,,,,,,false,has functional association with,KIF26B (has functional association with) STARD9,,
,,,,,,,,,,,,has functional association with,,2.0580582386842,,DOCK2 (has functional association with) KRTAP5-7,,,,,,,false,has functional association with,DOCK2 (has functional association with) KRTAP5-7,,
,,,,,,,,,,,,has functional association with,,1.6948923977449,,DOCK2 (has functional association with) KRTAP10-7,,,,,,,false,has functional association with,DOCK2 (has functional association with) KRTAP10-7,,
,,,,,,,,,,,,has functional association with,,2.08436747580566,,DOCK2 (has functional association with) WDFY4,,,,,,,false,has functional association with,DOCK2 (has functional association with) WDFY4,,
,,,,,,,,,,,,has functional association with,,2.54708797296649,,DOCK2 (has functional association with) NOTCH2NLA,,,,,,,false,has functional association with,DOCK2 (has functional association with) NOTCH2NLA,,
,,,,,,,,,,,,has functional association with,,1.67915454497591,,DOCK2 (has functional association with) VAV1,,,,,,,false,has functional association with,DOCK2 (has functional association with) VAV1,,
,,,,,,,,,,,,has functional association with,,1.68090223363743,,DOCK2 (has functional association with) HOXA1,,,,,,,false,has functional association with,DOCK2 (has functional association with) HOXA1,,
,,,,,,,,,,,,has functional association with,,2.5966189965673,,DOCK2 (has functional association with) KRTAP10-8,,,,,,,false,has functional association with,DOCK2 (has functional association with) KRTAP10-8,,
,,,,,,,,,,,,has functional association with,,2.00171641006693,,USH1C (has functional association with) TUBA3C,,,,,,,false,has functional association with,USH1C (has functional association with) TUBA3C,,
,,,,,,,,,,,,has functional association with,,3.18568947551193,,PGR (has functional association with) TDG,,,,,,,false,has functional association with,PGR (has functional association with) TDG,,
,,,,,,,,,,,,has functional association with,,1.64598514367993,,PGR (has functional association with) TBP,,,,,,,false,has functional association with,PGR (has functional association with) TBP,,
,,,,,,,,,,,,has functional association with,,1.64449778492551,,PGR (has functional association with) NCOR1,,,,,,,false,has functional association with,PGR (has functional association with) NCOR1,,
,,,,,,,,,,,,has functional association with,,1.79080435421709,,PGR (has functional association with) RBM23,,,,,,,false,has functional association with,PGR (has functional association with) RBM23,,
,,,,,,,,,,,,has functional association with,,2.18187906626677,,STARD9 (has functional association with) SVIL,,,,,,,false,has functional association with,STARD9 (has functional association with) SVIL,,
,,,,,,,,,,,,has functional association with,,1.62296427564741,,STAB1 (has functional association with) SIGLEC1,,,,,,,false,has functional association with,STAB1 (has functional association with) SIGLEC1,,
,,,,,,,,,,,,has functional association with,,3.75131725472892,,STAB1 (has functional association with) APOB,,,,,,,false,has functional association with,STAB1 (has functional association with) APOB,,
,,,,,,,,,,,,has functional association with,,1.49585651456399,,LAMA2 (has functional association with) FHOD3,,,,,,,false,has functional association with,LAMA2 (has functional association with) FHOD3,,
,,,,,,,,,,,,has functional association with,,5.3728377351327,,LAMA2 (has functional association with) LAMC2,,,,,,,false,has functional association with,LAMA2 (has functional association with) LAMC2,,
,,,,,,,,,,,,has functional association with,,5.43548228992279,,LAMA2 (has functional association with) LAMA3,,,,,,,false,has functional association with,LAMA2 (has functional association with) LAMA3,,
,,,,,,,,,,,,has functional association with,,3.52583697419337,,MYL5 (has functional association with) VCL,,,,,,,false,has functional association with,MYL5 (has functional association with) VCL,,
,,,,,,,,,,,,has functional association with,,3.20742725883219,,MYL5 (has functional association with) DYSF,,,,,,,false,has functional association with,MYL5 (has functional association with) DYSF,,
,,,,,,,,,,,,has functional association with,,3.17960040957084,,PCDHB8 (has functional association with) PCDHB2,,,,,,,false,has functional association with,PCDHB8 (has functional association with) PCDHB2,,
,,,,,,,,,,,,has functional association with,,3.46041411807962,,PCDHB8 (has functional association with) PCDHB16,,,,,,,false,has functional association with,PCDHB8 (has functional association with) PCDHB16,,
,,,,,,,,,,,,has functional association with,,1.5625776564149,,ZNF257 (has functional association with) PRAMEF11,,,,,,,false,has functional association with,ZNF257 (has functional association with) PRAMEF11,,
,,,,,,,,,,,,has functional association with,,2.5439484858929,,GRK6 (has functional association with) RUBCNL,,,,,,,false,has functional association with,GRK6 (has functional association with) RUBCNL,,
,,,,,,,,,,,,has functional association with,,1.63581815090214,,GRK6 (has functional association with) KRAS,,,,,,,false,has functional association with,GRK6 (has functional association with) KRAS,,
,,,,,,,,,,,,has functional association with,,2.03761575192984,,GRK6 (has functional association with) WNK2,,,,,,,false,has functional association with,GRK6 (has functional association with) WNK2,,
,,,,,,,,,,,,has functional association with,,1.69951980861474,,GRK6 (has functional association with) STRADB,,,,,,,false,has functional association with,GRK6 (has functional association with) STRADB,,
,,,,,,,,,,,,has functional association with,,1.65446556996989,,GRK6 (has functional association with) NRAS,,,,,,,false,has functional association with,GRK6 (has functional association with) NRAS,,
,,,,,,,,,,,,has functional association with,,2.14397523969161,,GRK6 (has functional association with) NCR3LG1,,,,,,,false,has functional association with,GRK6 (has functional association with) NCR3LG1,,
,,,,,,,,,,,,has functional association with,,3.95040918233118,,ZNF354A (has functional association with) ZNF592,,,,,,,false,has functional association with,ZNF354A (has functional association with) ZNF592,,
,,,,,,,,,,,,has functional association with,,4.23493174263083,,ZNF354B (has functional association with) ZNF354A,,,,,,,false,has functional association with,ZNF354B (has functional association with) ZNF354A,,
,,,,,,,,,,,,has functional association with,,3.95040918233118,,ZNF354B (has functional association with) ZNF592,,,,,,,false,has functional association with,ZNF354B (has functional association with) ZNF592,,
,,,,,,,,,,,,has functional association with,,3.97218894037443,,ZNF354B (has functional association with) ZNF721,,,,,,,false,has functional association with,ZNF354B (has functional association with) ZNF721,,
,,,,,,,,,,,,has functional association with,,1.74278067428303,,ACACB (has functional association with) MTHFD2L,,,,,,,false,has functional association with,ACACB (has functional association with) MTHFD2L,,
,,,,,,,,,,,,has functional association with,,2.20934055023134,,ACACB (has functional association with) STRADB,,,,,,,false,has functional association with,ACACB (has functional association with) STRADB,,
,,,,,,,,,,,,has functional association with,,3.03631619664207,,ACACB (has functional association with) LDHB,,,,,,,false,has functional association with,ACACB (has functional association with) LDHB,,
,,,,,,,,,,,,has functional association with,,2.84216794607827,,ACACB (has functional association with) TM7SF2,,,,,,,false,has functional association with,ACACB (has functional association with) TM7SF2,,
,,,,,,,,,,,,has functional association with,,3.97917877666782,,TAS2R46 (has functional association with) TAS2R30,,,,,,,false,has functional association with,TAS2R46 (has functional association with) TAS2R30,,
,,,,,,,,,,,,has functional association with,,1.88595393957001,,TAS2R46 (has functional association with) RFPL4AL1,,,,,,,false,has functional association with,TAS2R46 (has functional association with) RFPL4AL1,,
,,,,,,,,,,,,has functional association with,,1.5917726112804,,TAS2R46 (has functional association with) RGPD1,,,,,,,false,has functional association with,TAS2R46 (has functional association with) RGPD1,,
,,,,,,,,,,,,has functional association with,,1.64099856340943,,TAS2R46 (has functional association with) C3,,,,,,,false,has functional association with,TAS2R46 (has functional association with) C3,,
,,,,,,,,,,,,has functional association with,,3.72202551002599,,TAS2R46 (has functional association with) TAS2R19,,,,,,,false,has functional association with,TAS2R46 (has functional association with) TAS2R19,,
,,,,,,,,,,,,has functional association with,,1.66920930512316,,TAS2R46 (has functional association with) PRAMEF11,,,,,,,false,has functional association with,TAS2R46 (has functional association with) PRAMEF11,,
,,,,,,,,,,,,has functional association with,,1.65588491554824,,TAS2R46 (has functional association with) GRM6,,,,,,,false,has functional association with,TAS2R46 (has functional association with) GRM6,,
,,,,,,,,,,,,has functional association with,,1.67656560847301,,TAS2R46 (has functional association with) HCAR2,,,,,,,false,has functional association with,TAS2R46 (has functional association with) HCAR2,,
,,,,,,,,,,,,has functional association with,,1.55750735230776,,TAS2R46 (has functional association with) PRAMEF1,,,,,,,false,has functional association with,TAS2R46 (has functional association with) PRAMEF1,,
,,,,,,,,,,,,has functional association with,,2.01845570187493,,TAS2R46 (has functional association with) LPA,,,,,,,false,has functional association with,TAS2R46 (has functional association with) LPA,,
,,,,,,,,,,,,has functional association with,,1.67233345634666,,TAS2R46 (has functional association with) SSTR3,,,,,,,false,has functional association with,TAS2R46 (has functional association with) SSTR3,,
,,,,,,,,,,,,has functional association with,,1.55710033652616,,KRTAP4-5 (has functional association with) KRT38,,,,,,,false,has functional association with,KRTAP4-5 (has functional association with) KRT38,,
,,,,,,,,,,,,has functional association with,,2.10399821435266,,KRTAP4-5 (has functional association with) ZNF835,,,,,,,false,has functional association with,KRTAP4-5 (has functional association with) ZNF835,,
,,,,,,,,,,,,has functional association with,,2.75580578293946,,DNAH3 (has functional association with) CLIP1,,,,,,,false,has functional association with,DNAH3 (has functional association with) CLIP1,,
,,,,,,,,,,,,has functional association with,,4.35898948301339,,DNAH3 (has functional association with) DNAH7,,,,,,,false,has functional association with,DNAH3 (has functional association with) DNAH7,,
,,,,,,,,,,,,has functional association with,,1.54439641414778,,MED12L (has functional association with) NEXMIF,,,,,,,false,has functional association with,MED12L (has functional association with) NEXMIF,,
,,,,,,,,,,,,has functional association with,,1.74349588552841,,MED12L (has functional association with) RYR2,,,,,,,false,has functional association with,MED12L (has functional association with) RYR2,,
,,,,,,,,,,,,has functional association with,,1.53056833487,,MED12L (has functional association with) PTPRN2,,,,,,,false,has functional association with,MED12L (has functional association with) PTPRN2,,
,,,,,,,,,,,,has functional association with,,1.64351732228863,,MED12L (has functional association with) TAF1A,,,,,,,false,has functional association with,MED12L (has functional association with) TAF1A,,
,,,,,,,,,,,,has functional association with,,1.75101070317629,,MED12L (has functional association with) GPRIN3,,,,,,,false,has functional association with,MED12L (has functional association with) GPRIN3,,
,,,,,,,,,,,,has functional association with,,2.14527790094219,,ZNF605 (has functional association with) ZNF84,,,,,,,false,has functional association with,ZNF605 (has functional association with) ZNF84,,
,,,,,,,,,,,,has functional association with,,1.52630926841347,,LILRA2 (has functional association with) ZNF845,,,,,,,false,has functional association with,LILRA2 (has functional association with) ZNF845,,
,,,,,,,,,,,,has functional association with,,4.75862653622318,,LILRA2 (has functional association with) LILRA4,,,,,,,false,has functional association with,LILRA2 (has functional association with) LILRA4,,
,,,,,,,,,,,,has functional association with,,2.38214155470413,,LILRA2 (has functional association with) KIR3DL3,,,,,,,false,has functional association with,LILRA2 (has functional association with) KIR3DL3,,
,,,,,,,,,,,,has functional association with,,1.52385447495984,,LILRA2 (has functional association with) GSN,,,,,,,false,has functional association with,LILRA2 (has functional association with) GSN,,
,,,,,,,,,,,,has functional association with,,1.70284668869668,,LILRA2 (has functional association with) KIR3DL2,,,,,,,false,has functional association with,LILRA2 (has functional association with) KIR3DL2,,
,,,,,,,,,,,,has functional association with,,1.70284668869668,,LILRA2 (has functional association with) KIR2DL1,,,,,,,false,has functional association with,LILRA2 (has functional association with) KIR2DL1,,
,,,,,,,,,,,,has functional association with,,1.70284668869668,,LILRA2 (has functional association with) KIR2DL4,,,,,,,false,has functional association with,LILRA2 (has functional association with) KIR2DL4,,
,,,,,,,,,,,,has functional association with,,2.75580578293946,,DNAH5 (has functional association with) CLIP1,,,,,,,false,has functional association with,DNAH5 (has functional association with) CLIP1,,
,,,,,,,,,,,,has functional association with,,4.34959995561901,,DNAH5 (has functional association with) DNAH9,,,,,,,false,has functional association with,DNAH5 (has functional association with) DNAH9,,
,,,,,,,,,,,,has functional association with,,2.01484897666506,,DNAH5 (has functional association with) PLEC,,,,,,,false,has functional association with,DNAH5 (has functional association with) PLEC,,
,,,,,,,,,,,,has functional association with,,2.34694717242793,,DNAH5 (has functional association with) RRBP1,,,,,,,false,has functional association with,DNAH5 (has functional association with) RRBP1,,
,,,,,,,,,,,,has functional association with,,4.3537584088851,,DNAH5 (has functional association with) DYNC1H1,,,,,,,false,has functional association with,DNAH5 (has functional association with) DYNC1H1,,
,,,,,,,,,,,,has functional association with,,4.35849515866879,,DNAH5 (has functional association with) DNAH10,,,,,,,false,has functional association with,DNAH5 (has functional association with) DNAH10,,
,,,,,,,,,,,,has functional association with,,5.10098360867507,,DNAH5 (has functional association with) DNAH6,,,,,,,false,has functional association with,DNAH5 (has functional association with) DNAH6,,
,,,,,,,,,,,,has functional association with,,3.53924697962894,,DNAH5 (has functional association with) DNAH3,,,,,,,false,has functional association with,DNAH5 (has functional association with) DNAH3,,
,,,,,,,,,,,,has functional association with,,3.53924697962894,,DNAH5 (has functional association with) DNAH1,,,,,,,false,has functional association with,DNAH5 (has functional association with) DNAH1,,
,,,,,,,,,,,,has functional association with,,4.61203205017738,,SPTA1 (has functional association with) SPTB,,,,,,,false,has functional association with,SPTA1 (has functional association with) SPTB,,
,,,,,,,,,,,,has functional association with,,1.66042098366332,,SPTA1 (has functional association with) EZR,,,,,,,false,has functional association with,SPTA1 (has functional association with) EZR,,
,,,,,,,,,,,,has functional association with,,1.61004844117701,,SPTA1 (has functional association with) TAL1,,,,,,,false,has functional association with,SPTA1 (has functional association with) TAL1,,
,,,,,,,,,,,,has functional association with,,4.05591618476343,,SPTA1 (has functional association with) SPTAN1,,,,,,,false,has functional association with,SPTA1 (has functional association with) SPTAN1,,
,,,,,,,,,,,,has functional association with,,2.88379047564222,,SALL3 (has functional association with) VRTN,,,,,,,false,has functional association with,SALL3 (has functional association with) VRTN,,
,,,,,,,,,,,,has functional association with,,1.49489444478824,,IRF1 (has functional association with) OAS3,,,,,,,false,has functional association with,IRF1 (has functional association with) OAS3,,
,,,,,,,,,,,,has functional association with,,1.68720497430736,,IRF1 (has functional association with) TRAF3,,,,,,,false,has functional association with,IRF1 (has functional association with) TRAF3,,
,,,,,,,,,,,,has functional association with,,4.11377785044196,,NLRP5 (has functional association with) NLRP9,,,,,,,false,has functional association with,NLRP5 (has functional association with) NLRP9,,
,,,,,,,,,,,,has functional association with,,4.11377785044196,,NLRP5 (has functional association with) NLRP4,,,,,,,false,has functional association with,NLRP5 (has functional association with) NLRP4,,
,,,,,,,,,,,,has functional association with,,1.51062235113481,,PRPF8 (has functional association with) SRRM2,,,,,,,false,has functional association with,PRPF8 (has functional association with) SRRM2,,
,,,,,,,,,,,,has functional association with,,1.59381561053742,,PRPF8 (has functional association with) LDHB,,,,,,,false,has functional association with,PRPF8 (has functional association with) LDHB,,
,,,,,,,,,,,,has functional association with,,3.77726039815692,,PRPF8 (has functional association with) SNRNP200,,,,,,,false,has functional association with,PRPF8 (has functional association with) SNRNP200,,
,,,,,,,,,,,,has functional association with,,1.57504886546293,,PRPF8 (has functional association with) KRT8,,,,,,,false,has functional association with,PRPF8 (has functional association with) KRT8,,
,,,,,,,,,,,,has functional association with,,1.51589209918819,,PRPF8 (has functional association with) PLEC,,,,,,,false,has functional association with,PRPF8 (has functional association with) PLEC,,
,,,,,,,,,,,,has functional association with,,1.641172186685,,PRPF8 (has functional association with) ABCA1,,,,,,,false,has functional association with,PRPF8 (has functional association with) ABCA1,,
,,,,,,,,,,,,has functional association with,,1.68234321432499,,PRPF8 (has functional association with) URM1,,,,,,,false,has functional association with,PRPF8 (has functional association with) URM1,,
,,,,,,,,,,,,has functional association with,,1.61783198255492,,PRPF8 (has functional association with) MAP4,,,,,,,false,has functional association with,PRPF8 (has functional association with) MAP4,,
,,,,,,,,,,,,has functional association with,,1.65728283388982,,PRPF8 (has functional association with) FLG2,,,,,,,false,has functional association with,PRPF8 (has functional association with) FLG2,,
,,,,,,,,,,,,has functional association with,,1.56722688199423,,PRPF8 (has functional association with) AHNAK,,,,,,,false,has functional association with,PRPF8 (has functional association with) AHNAK,,
,,,,,,,,,,,,has functional association with,,1.50958422674387,,PRPF8 (has functional association with) SLC25A5,,,,,,,false,has functional association with,PRPF8 (has functional association with) SLC25A5,,
,,,,,,,,,,,,has functional association with,,1.6052349145655,,PRPF8 (has functional association with) KRT5,,,,,,,false,has functional association with,PRPF8 (has functional association with) KRT5,,
